headline,title,text,word_count,label
"['click on settings from your main ipad home screen', 'select ""general"" and then hit ""accessibility.""', 'scroll down and select ""guided access.""', 'turn guided access by hitting the button', ""enter a passcode that you'll want to use to exit guided access mode"", 'open the app that you want to use', 'click the ipad home button 3 times in quick succession', 'use your finger to draw around the areas of the screen you want to disable', 'disable the hardware buttons', 'if desired', 'disable touch altogether', 'if desired', 'disable motion adjustments', 'if desired', 'click on ""start"" when you\'re ready to enter guided access mode.', 'use the app - or have your child use it', 'click the home button three times in quick succession to exit guided access mode.', 'enter your passcode when prompted.', 'change the settings or exit guided access', 'return to guided access when desired', 'let your child loose on the ipad!']",How to Use Guided Access to Disable Parts of an iPad Screen,"; ,  ,  , It should turn green. If the passcode window doesn't pop right up, hit ""Set Passcode.""  , Make this something you'll remember, but your child or other restricted user won't know. You will then be asked to enter it again for confirmation. After doing so, you can exit the Settings.  , Guided Access will work on any iPad app. For children's use, you may want to let them watch videos or play a particular game.  , This will open the in-app Guided Access settings screen.  , These ""blind spots"" will remain the same regardless of what changes on the screen throughout use. You may want to disable areas that show clickable ads, exit buttons, in-app purchases, or other similar ""no-go"" functions.   The boundary you draw doesn't have to be exact. The iPad will turn your boundary into a logical shape for the given area (box, oval, etc.), and even after drawing, you can adjust the edges of the boundary by dragging the corners and sides to cover your desired region.  , Click on ""Options"" and then adjust the ""Sleep/Wake Button"" and ""Volume Buttons"" as you'd like. If the buttons are green, those functions will work, and if they're white, they will not work.  , Turning the ""Touch"" button to white will put the whole screen in ""view only"" mode; touching anywhere on the screen won't do anything.  , When this button is white, tilting or turning the screen will have no effect on the iPad or app.  ,, If the user touches the disabled areas or buttons, nothing will happen, so they can play and watch any way they want without getting into trouble!  ,,, Changing the settings may be helpful if you want to adjust the disabled portions of the screen for a new page of a game or app. Then click ""Resume"" if you want to go back into Guided Access, or click ""End"" if you want to quit Guided Access altogether.  , After exiting this mode, you can turn it on again by clicking the Home button three times. You may be asked to enter and confirm your passcode.  , Rest assured that they can play and watch freely without getting into other apps or clicking ads that may be inappropriate - or cost you cash!  ",382,"['settings', 'ipad home button', 'accessibility', 'start', 'access mode', 'finger', 'passcode', 'ipad', 'hardware buttons', 'areas', 'home button', 'child', 'access', 'button', 'disable motion adjustments', 'quick succession', 'app', 'screen', 'main ipad home screen', 'times', 'exit', 'touch']"
"['start with less distressing calls', 'role-play beforehand', 'get a lot of practice', 'fake it', 'fidget', 'enlist backup']",How to Get Rid of Phone Anxiety2," Do you find yourself feeling more confident during some phone calls and less confident during others? If so, it may help to build your confidence by starting with phone calls that don’t cause so much anxiety.For example, if you need to make three phone calls—to a friend, to a colleague, and to make a reservation—rank the level of anxiety you feel with each one. Then, start with the least anxiety-provoking, like to a friend. Make that call first to get some good vibes. Then, move to the next one and so on.  , Sometimes phone calls cause anxiety because of the context of the call. In these situations, it may help relieve anxiety to role-play with a friend or family member ahead of time. That way, this person can help you desensitize before the real call and give you feedback about your performance.For example, before a telephone job interview, you might do a “mock interview” with a friend. Have them ask you questions. Then, you can provide thoughtful answers as if it were the real deal. Ask for feedback after the “interview” is over so that you can make improvements.  , The more you force yourself to face a fear, the less power it has over you. Therefore, you can gradually reduce the anxiety you feel about making phone calls by making more of them. Instead of sending a text, call a friend, coworker or family member. If you are planning to email a professor or boss, skip the email and call.As you practice making more phone calls, you’ll likely find the activity doesn’t stress you out as much.  , There’s a classic confidence-building strategy known as “fake it ‘til you make it.” Try this when you’re making phone calls. For instance, even when you’re not feeling so confident, lift your chin, pull your shoulders back, and smile during the call. “Faking” confident body language may actually lead to real confidence., It can be helpful to release anxiety with small movements. When you’re planning to make phone calls, take something in your hand, such as a stress ball, a fidget spinner, or a handful of marbles. Play around with these items during the call to release excess tension., If you’re required to participate in a phone call that is stressing you out, see if you can get a buddy on the call. This person can be silently present on the line to offer you moral support during the call. Or, they can join in on the call to serve as a buffer when you forget what you were going to say or become tongue-tied.For example, if you’re checking in with a supervisor, you might plan to have a team member join you on the call. If you’re calling a distant relative, ask your mom or sibling to talk to them with you.  ",472,"['backup', 'lot', 'practice', 'distressing calls']"
"['unfold the board.', 'shuffle', 'then divide the category deck in half', 'distribute the four colored sets of option cards to each player or team', 'place the game pieces in the start zone', 'place the die and timer on the board', 'distribute one pad and pencil to each player or team', 'choose a player to go first (there is no advantage to going first)', 'reveal a card', 'tally the number of answers', 'continue', 'think of words that rhyme with words or parts of words provided', 'start small', 'look for whole words within the word given', 'look for pairs of consonants and change the vowel before or after each pair', 'try adding a letter before the first two letters or after the last two letters', 'think of as many items in the second category as possible', 'get to the end zone']",How to Play Common Ground (Board Game),", Place each half in the areas of the board labeled ""Category 1"" and ""Category 2."", Hand them out according to the color of their game piece.,,,, That player turns over the top card from the Category 1 pile and then names three items from that category. All players write them in the left hand column of their pad., The top card of the Category 2 pile is then revealed and the time started. Players then have 90 seconds to think of an item in the second category that shares common ground with the items listed.  Only one response per item.  , When the time expires, players add up the total number of letters in common for the three responses. The player with the highest total wins the round and advances five spaces.  In the event of a tie, the payers involved play an instant round where the next category cards in each pile are revealed simultaneously, and the first player to call out an item from each category that shares common ground, wins the tiebreaker, and advances five spaces. Instant rounds also take place whenever a player lands on the same space as another player, and the instant round involves only those 2 players.  , Next the players select an option card (No Action, Roll & Advance or Super Instant Round) and place it face down on the board. When all have done so, they flip them over simultaneously.  No Action - This means that the player wishes to not use an option card at this point. Roll & Advance - Player rolls the die and advances accordingly. These are played in order beginning with the player to the left of the player who started the round by listing items. Roll & Advance cards are played before any Super Instant Round. Super Instant Round means that the player is calling for an instant round involving all players and the winner advances four spaces in this case. If more than one player chooses to play a Super Instant Round card at the same time, only one Super Instant Round shall be played and the other Super Instant Round cards are forfeited. Once any Roll & Advance card is used it cannot be used again.  ,, Look at two consecutive letters at a time, shifting through different pairs of letters across the word. Then try it with three consecutive letters, and so forth.,, Or, look for pairs of vowels and change the consonant before or after each pair.,,, A player must be in the End Zone and win a Normal Round or a Super Instant Round. A player doesn't need an exact roll of the die to enter the End Zone.  ",450,"['start zone', 'number', 'timer', 'vowel', 'pair', 'many items', 'game pieces', 'pairs', 'die', 'advantage', 'category deck', 'letters', 'second category', 'word', 'player', 'team', 'whole words', 'sets', 'option cards', 'card', 'pad', 'letter', 'end zone', 'answers', 'words', 'board', 'pencil', 'consonants', 'parts', 'half']"
"['prepare your eyebrows:;', 'pluck', 'thread or wax to create the perfect shape.', 'prime your eyes:  buy a good quality primer like the urban decay primer potion or two faced shadow insurance', 'apply bright white eyeshadow:  apply some bright white eyeshadow to the inner corner of your eye and then blend', 'apply your mascara:  clamp an eyelash curler on the roots of your eyelashes and squeeze gently for five seconds', 'apply your eyeliner:  stand six inches away from a mirror and tilt your chin up', 'so that when you look down your nose in the mirror you are able to see your entire eyelid']","How to Achieve Flirty, Defined Eyes",",,       If you cannot afford one or can't be bothered to buy one, you can just apply a THIN layer of foundation topped with a THIN layer of powder.        ,       If you want to, experiment! Use bright colors and different textures.       Whatever you do make sure you highlight! Put a light (optional:Shimmery) color in your inner corners of your eyes, near the tear ducts, the balls of your eyes, just beneath the arch of your brows.        , This will give your lashes volume and instantly open up the eyes. For even more curl, clamp the eyelash curler on the middle and tips of lashes, squeezing gently to avoid a 90 degree angle.       Apply a primer to your lashes. (Many mascaras are now double-sided and come with primer on one end.) The primer will thicken the lashes. Be sure to brush the outer and inner corners. Let dry for 30 seconds.       After 30 seconds, wipe off any excess primer with a tissue. Sweep one coat of mascara on the upper lashes from the roots to the tips. Use brown or brownish-black mascara if you are fair-skinned or blonde. Otherwise use black.       While the first coat is still wet, apply a second layer of mascara. Applying a second coat when the first coat is dry will look clumpy.       Wait for lashes to dry completely, then use a clean lash comb to separate the individual lash hairs and remove clumps.       If you want to, carefully brush one layer of mascara on your lower lashes. Be sure to use a lash comb or pinch off any clumps.        ,       Soften the tip of your eyeliner pencil by rolling it between your fingers. This will help the color glide on easily.       Gently pull your eyelid taut and beginning at the inner corner, draw small, connected dashes as close as possible to the roots of the upper lashes just make sure to apply a bright color to the tight line and the water line and then go over the natural line with a black eyeliner or any color of your choice       Brush a matching powder shadow on top of the liner to prevent it from rubbing off.       To line the bottom lids, PUSH (not pull it will damage your eye) into the skin below the eye and draw connected dashes as close as possible to the roots of the lower lashes. Brush a matching powder shadow on top.       Fix any mistakes with makeup remover or a cotton swab.        ",411,"['good quality primer', 'urban decay primer potion', 'mascara', 'roots', 'eyebrows', 'bright white eyeshadow', 'eye', 'eyelashes', 'squeeze', 'chin', 'wax', 'shadow insurance', 'perfect shape', 'eyelash curler', 'eyeliner', 'inner corner', 'seconds', 'nose', 'inches', 'mirror', 'entire eyelid', 'eyes']"
"['acquire necessary supplies', 'be organized', 'label your journals', 'label your subject dividers!', 'put all of your pencils', 'pens', 'and highlighters in your zipper pouch and put the zipper pouch at the front of all your things in the binder', 'put your planner in front of all your subject dividers', 'but behind the zipper pouch', 'make friends', 'make a schedule', 'so you know when you have to work on homework after school', 'eat healthy', 'make sure to practice if you have clubs or specials classes', 'study!', 'be hygienic!']",How to Be Successful in Seventh Grade,"   Backpack       Binder (most schools have a rule saying every student needs one, but they are very useful even if your school doesn't) Pencils(3-5) Pens(2-3) Highlighters(2-4) A packet of post-it notes A planner Subject dividers Journals for each subject A homework folder Zipper pouch. (All of the items like the planner, journals, folder, and zipper pouch should be able to be put in a binder.); , Make sure that on your homework folder, hopefully it has two pockets, that one pocket says ""Finished"" and ""Not Finished"". That way, you can keep track of what homework you need to complete and what homework you need to turn in.  , On each journal (try a different color for each topic) write on the front cover what subject it is for. You could also put each journal in the subject divider for their subjects.  , How are you going to know where all of your papers are if every tab looks the same?   Put your subjects in the order of your classes. If you don't know your schedule yet, then write them down in your free time during classes on the first day of school.        , That way, you don't have to dig through your binder for a pencil.  , During classes, write all of your assignments in each slot for each subject in your planner. You can write down important dates like if you're in music, you can write down when your next concert is. Or when your tests are coming up. Up to you!  , Here are some tips on finding some friends.   During your classes, look at some of the people around you. If they seem nice, talk to them after class. Don't do so during class, or you'll get in trouble!       If you have an elective, find some people during that class. You'll have a friend with something in common! Sit next to someone during lunch, if he or she seems lonely. If you see a group of friends who seem nice, ask if you can sit with them. You could get to know them.  ,   Make a slot for mornings(6-11),afternoons(12-4),and evenings(5-5). Make sure to list everything in those slots on what you need to do. In the mornings, list everything you need to do in the morning. The same goes for afternoons and evenings, just make sure to write the times and what you need to do in the slots.        , Don't eat too much junk food  , Practice makes perfect!  , You won't get good grades on tests if you don't study. That's what your journals and post-it notes are for. Make sure to write notes during the lessons.  , No one wants a friend who doesn't shower or brush their teeth.  ",454,"['subject dividers', 'friends', 'zipper pouch', 'highlighters', 'clubs', 'binder', 'necessary supplies', 'journals', 'specials classes', 'schedule', 'pencils', 'planner', 'things', 'school', 'front', 'homework']"
"['use this style on day-old hair', 'brush out your hair thoroughly', 'tease the hair on your crown slightly', 'gather your hair into a ponytail', 'secure the ponytail in place with an elastic band', 'set the style with hairspray', 'smooth out the last few flyaways']",How to Make a High Ponytail2," While you can use this style anytime, it can actually work better on hair that's not freshly washed. If you did just wash your hair, it can help to add a little dry shampoo. You can also add hairspray, if that's your preference. These products will help make it easier to style., Make sure you don't have any tangles or knots in your hair. Styling tangled hair can cause severe knots when you take down your hairdo. It's important to brush in the direction of the ponytail. That is, brush as if you are trying to sweep your hair into a ponytail, brushing towards the crown of your head. That means also flipping your head over to brush upwards toward the crown.        , Lift a small section of your hair about midway to the crown. Backcomb towards the roots gently with a teasing comb. This teasing helps round your hair and give it volume at the top.        , Hold the hair in place at the back of your crown with one hand. Smooth out with a brush or comb, but only do so lightly on the top of your head where you teased it.        , Pull the band around your ponytail onto the crown of your head. Twist the band into a figure 8 and pull the new loop back through your hair. Repeat this movement until the hair tie is tight enough that it stays put.         Do not use a rubber band, as that will tangle your hair. Always use a hair tie made for hair. You may need an extra thick one for a high ponytail.To look extra nice, take a small section of hair from the bottom of your ponytail and carefully wrap it around the elastic. Secure it with a bobby pin running along the bottom of the hair tie to completely disguise it., Lightly spray hairspray over the part of your hair that is secure. This will help to keep your hair in place., Spray a dedicated toothbrush with some hairspray. Run the toothbrush along any stray hairs that you missed. This technique will help hold them down without flattening your crown.        ",357,"['day-old hair', 'place', 'hairspray', 'flyaways', 'crown', 'ponytail', 'elastic band', 'style', 'hair']"
"['network to find opportunities in your field', 'take advantage of online job search engines and print resources', 'cold call organizations to ask about job openings', 'promote yourself']",How to Become a Mental Health Technician3," If you have been volunteering or shadowing, ask whether that organization has any available positions. Even if they don’t, they may be glad to put you in touch with friends, business partners, or colleagues with an opening who will be glad to have a personal referral.   In addition, let friends, family members, neighbors, fellow students, and pretty much everyone you meet know that you are looking for work as a mental health technician. Use online professional networking sites like LinkedIn to post your resume and see whether people you know may be able to point you toward your next job.  , Online job search engines, the newspaper, and even billboards at local mental health facilities can be excellent ways to find out what a wide variety of local companies have announced as job openings.   Consider multiple ways to phrase the type of mental health technician position you are hoping to get, and scan anything you are even remotely qualified for to decide whether to apply. Set up automatic searches and email notifications with keywords like “mental health tech,” “behavioral tech,” “psychiatric,” “counselor,” or any other terms that will locate new jobs in your field – most websites can send them to you daily or weekly according to your preferences.  , Psychiatric wards, rehabilitation centers, local and state public health agencies, community clinics, charitable organizations, private psychiatric offices, alternative therapy clinics, and hospitals may all have relevant mental health technician positions.   If you cannot find information about job openings on their website, consider calling and asking politely if they are hiring. You may wish to visit in person with a copy of your resume and a general cover letter explaining your wish to work as a mental health technician, describing your passion for the field and your most pertinent experience or education.  , Be vocal about your education, experience, and excitement for working as a mental health technician.   Find ways to describe past work experience as relevant mental health technician experience; for instance, customer service experience can translate to comfort working with a wide variety of people (good for working with patients), bartending can be billed as experience listening to people’s concerns and intimate problems, and being a college resident assistant can count as experience counseling homesick students and identifying alcohol abuse.  ",381,"['field', 'online job search engines', 'cold call organizations', 'opportunities', 'job openings', 'advantage', 'print resources']"
"['spot a sphere', 'learn the formula for the volume of a sphere', 'find the radius of the sphere', 'measure the sphere if the radius is not given', 'cube the radius to find r3', 'now multiply your answer by 4/3', 'multiply the result by π to find the volume of the sphere', 'express your answer in cubic units']",How to Calculate Volume6," A sphere is a perfectly round three-dimensional object, in which every point on the surface is an equal distance from the center. In other words, a sphere is a ball-shaped object., The formula for the volume of a sphere is V = 4/3πr3 (stated: ""four-thirds times pi r-cubed"") where r is the radius of the sphere, and π is the constant pi (3.14)., If the radius is given in the diagram, then finding r is simply a matter of locating it. If the diameter is given, you must divide this number by 2 to find the radius. For example, the radius of the sphere in the diagram is 3 inches.  , If you need to measure a spherical object (like a tennis ball) to find the radius, first find a piece of string large enough to wrap around the object. Then wrap the string around the object at its widest point and mark the points where the string overlaps itself. Then measure the string with a ruler to find the circumference. Divide that value by 2π, or 6.28, and that will give you the radius of the sphere.  For example, if you measure a ball and find its circumference is 18 inches, divide that number by 6.28 and you will find that the radius is 2.87in. Measuring a spherical object can be a little tricky, so you might want to take 3 different measurements, and then average them together (add the three measurements together, then divide by 3) to make sure you have the most accurate value possible. For example, if your three circumference measurements were 18 inches, 17.75 inches, and 18.2 inches, you would add those three values together (18 + 17.5 + 18.2 = 53.95) and divide that value by 3 (53.95/3 = 17.98). Use this average value in your volume calculations.  , Cubing a number simply means multiplying the number by itself 3 times, so r3 = r * r * r. In our example, r = 3, so r3 = 3 * 3 * 3, or 27.  , You can either use your calculator, or do the multiplication by hand and then simplify the fraction. In our example, multiplying 27 by 4/3 = 108/3, or 36.  , The last step in calculating the volume is simply to multiply the result so far by π. Rounding π to two digits is usually sufficient for most math problems (unless your teacher specified otherwise,) so multiply by 3.14 and you have your answer.   In our example, 36 * 3.14 = 113.09.  , In our example, the measurement of the radius of the sphere was in inches, so our answer is actually V = 113.09 cubic inches (113.09 in3).  ",449,"['sphere', 'formula', 'result', 'π', 'answer', 'r3', 'volume', 'cubic units', 'radius']"
"['employ the puppy training methods outlined in method 1', 'steps 2-6', 'use a taste deterrent.there are commercial sprays available that will make you skin or clothes smell and taste unpleasant to your dog', 'punish judiciously', 'seek professional assistance', 'prepare just in case']",How to Stop Dogs from Biting2," As the old saying indicates, it will be more difficult to change the habits and behaviors of an older dog. Let patience and persistence be your allies.  , If your dog tends to bite your forearm, for instance, spray your shirt sleeve in that area while playing.   You can also search for homemade versions of this deterrent.  , Beating your dog is never the best way to handle any situation, and in the case of biting only tends to instill fear, aggression, and an invitation for rougher play, all of which promote more biting. Use the following negative association methods in combination with the “yelp and stop” methods.   Spray your dog in the mouth with a peppermint breath spray (like Binaca) when she bites. She will like neither the taste nor the sensation of the spray.Utilize a choke/pinch collar, if you are comfortable with doing so.Keep a leash on the dog while you play, and give a firm but not excessive tug when a biting or mouthing incident occurs. There are differences of opinion on whether choke collars are acceptable for use on dogs, so use your best judgement.  , All dogs are different, and training a puppy or older dog can be a frustrating and seemingly fruitless task. There is no shame in seeking out help from trained and experienced professionals.   The ASPCA recommends that you seek out a Certified Applied Animal Behaviorist (CAAB or ACAAB), a Veterinary Behaviorist (Dip ACVB), or a Certified Professional Dog Trainer (CPDT) with demonstrated experience in dealing with dogs who bite.Train your dog in your home as opposed to sending him away to a training school if possible. Training is most effective when done in the familiar environment in which the trained behavior will be most commonly expected., Even the best-trained dog who has never shown a proclivity for biting can unexpectedly bite you, a family member, or a guest. Pain, sometimes pain of which you may not be aware, can be one cause of unexpected biting behavior.   If there are behaviors, such as rough play or head-patting that can trigger a biting response from your dog, inform your family and guests to avoid doing so. Teach those around you to be aware of signs of an impending bite, by your dog or any others. These include ears pinned back, fur standing up, body stiffening, widened eyes with a direct gaze, and showing of teeth that can look like a yawn.Teach those around you how, in the worst case scenario, to respond to a threatening dog: remain calm, be assertive but avoid eye contact, and if attacked, ball up and protect your face, throat, chest, and fingers (by making fists).",447,"['method', 'clothes smell', 'professional assistance', 'puppy training methods', 'dog', 'taste', 'case', 'skin', 'taste deterrent.there', 'commercial sprays']"
"['be careful of who you copy on replies', 'determine to whom you should reply', 'think twice before replying to just say thank you', 'summarize long discussions', 'be sure to include info that you are responding to', 'reply promptly', 'be proactive']",How to Improve Your Email Etiquette3," If you reply to a message and then CC: a third-party that the original sender did not include, be certain in your mind that the original sender will not be upset about it. This information may have been ""for your eyes only"". This is especially important if the original sender is your work supervisor. Be cautious about using BCC:. This can backfire if the person being BCC:'d replies back, not having seen that their copy was a blind one.  , Emails sent to you solely generally require that you reply only to the sender, but for emails sent to several people, you may need to choose the ""Reply to All"" option to send your response to everyone. Be judicious; using ""Reply All"" all the time creates returns in abundance and leaves messages languishing in the in-boxes of many people. Consider the consequences of receiving an email, hitting reply all and it goes out to twenty people and then those twenty people hit reply to all; it can compound very quickly into hundreds of thousands of emails and everyone feels compelled to hit ""reply all"" as a means of keeping everyone in the loop because nobody knows who is meant to read it and who is not.  , Some people don't want an email that says ""Thanks."" This takes additional time to open the email and read it just to read what you already know. Some people include a line that says “NTN” – “No Thanks Needed.”  , Scrolling through pages of replies to understand a discussion is annoying. Instead of continuing to forward a message string, take a minute to summarize it for your reader(s).  , Many people, and companies, write and respond to hundreds of emails every day. Avoid sending an indistinct email that says only 'Yes'. Include the question that the recipient asked so they know what you are responding to. Avoid making the recipient scroll down more than a single message in the history.  , If you need to do some research or some thinking before you respond to an email, or if you're too busy to write a full response promptly, send a short response letting the sender know that you got the email and advising when you will respond.  , When replying to an email, you can save everybody some time by anticipating any questions or concerns your reply may elicit. Address these in your reply before somebody has to send a new email to ask about them.  ",413,"['discussions', 'info', 'replies']"
